Station,Latitude,Longitude
"White House, Pennsylvania Avenue Northwest, Washington, DC",38.8976763,-77.0365298
"USS Alabama, Battleship Parkway, Mobile, AL",30.6818034,-88.0144261
"Grand Canyon National Park, Arizona",36.2678855,-112.3535253
"Toltec Mounds, Scott, AR",34.6454561,-92.05996619999999
"San Andreas Fault, San Benito County, CA",36.5760883,-120.9876321
"Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",37.7946366,-122.4115074
"Pikes Peak, Colorado",38.8408707,-105.0422595
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT",41.7670235,-72.7014493
"New Castle Historic District, Delaware",39.6620397,-75.5668166
"Cape Canaveral, FL",28.3922182,-80.60771319999999
"Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",31.056794,-82.27232699999999
"Craters of the Moon National Monument & Preserve, Arco, ID",43.1717745,-113.4821281
"Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",39.7975011,-89.6462937
"West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",38.5670248,-86.61851159999999
"Terrace Hill, Grand Avenue, Des Moines, IA",41.5832606,-93.64913
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS",39.3172222,-94.90944440000001
"Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY",37.1387522,-86.0761716
"French Quarter, New Orleans, LA",29.9584426,-90.0644107
"Acadia National Park, Maine",44.3385559,-68.2733346
"Maryland State House, 100 State Cir, Annapolis, MD 21401",38.9787739,-76.4908889
"USS Constitution, Boston, MA",42.3724612,-71.056583
"Olympia Entertainment, Woodward Avenue, Detroit, MI",42.338407,-83.0520799
"Fort Snelling, Tower Avenue, Saint Paul, MN",44.892792,-93.18084999999999
"Vicksburg National Military Park, Clay Street, Vicksburg, MS",32.3548532,-90.8452588
"Gateway Arch, Washington Avenue, St Louis, MO",38.6292263,-90.18346079999999
"Glacier National Park, West Glacier, MT",48.7596128,-113.7870225
"Ashfall Fossil Bed, Royal, NE",42.421683,-98.1562905
"Hoover Dam, NV",36.0160655,-114.7377325
"Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH",44.25735400000001,-71.439669
"Congress Hall, Congress Place, Cape May, NJ 08204",38.9314188,-74.9242809
"Carlsbad Caverns National Park, Carlsbad, NM",32.137045,-104.5437529
"Statue of Liberty, Liberty Island, NYC, NY",40.6892494,-74.04450039999999
"Wright Brothers National Memorial Visitor Center, Manteo, NC",35.9082256,-75.67573019999999
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND",47.9992646,-104.0405613
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH",39.1647829,-84.5231434
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086",34.4611597,-97.00665149999999
"Columbia River Gorge National Scenic Area, Oregon",45.7087498,-121.7524723
"Liberty Bell, 6th Street, Philadelphia, PA",39.9496103,-75.1502821
"The Breakers, Ochre Point Avenue, Newport, RI",41.4698401,-71.2982384
"Fort Sumter National Monument, Sullivan's Island, SC",32.75234760000001,-79.8746925
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD",43.8803357,-103.4537746
"Graceland, Elvis Presley Boulevard, Memphis, TN",35.0476912,-90.02604930000001
"The Alamo, Alamo Plaza, San Antonio, TX",29.4259671,-98.48614189999999
"Bryce Canyon National Park, Hwy 63, Bryce, UT",37.5930377,-112.1870895
"Shelburne Farms, Harbor Road, Shelburne, VT",44.395607,-73.2472777
"Mount Vernon, Fairfax County, Virginia",38.72931380000001,-77.1073859
"Hanford Site, Benton County, WA",46.5506839,-119.4889741
"Lost World Caverns, Lewisburg, WV",37.832652,-80.44684199999999
"Taliesin, County Road C, Spring Green, Wisconsin",43.1410311,-90.070467
"Yellowstone National Park, WY 82190",44.4279684,-110.5884542
